"","OMSCHR","VHAG","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","locID","SugbyINBO","isReserved","Latitude","Longitude","updateRes"
"25","Tongeren, Hardelweg/Oude Blaarstraat, Natuurgebied ""De Kevie"", afw brug",9504,"Jeker","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3700,"Tongeren","I_3700_1","YES","FALSE",50.7797622297555,5.49074713338154,"FALSE"
"26","Lauw, Brugstraat, opw brug",9504,"Jeker","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3700,"Tongeren","I_3700_2","YES","FALSE",50.738617397299,5.41144450879059,"FALSE"
"27","Moelingen, Voerenstraat, opw brug",9536,"Berwijn","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3790,"Voeren","I_3790_1","YES","FALSE",50.7567716863156,5.71344246373497,"FALSE"
"28","Bassevelde,Zwarte Hoek,Beekstraat,opw weg",2880,"Hollemeersbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9968,"Assenede","I_9968_1","YES","FALSE",51.2242378158697,3.6667882087607,"FALSE"
"29","Burgstraat, opw weg",2894,"Maatbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9960,"Assenede","I_9960_1","YES","FALSE",51.2174340515445,3.73375991381296,"FALSE"
"30","Rode Weel, thv bunker a brug over Verlegde Schijns",3104,"Hoofdgracht","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2030,"Antwerpen","I_2030_1","YES","FALSE",51.3013778797996,4.37241519189361,"FALSE"
"31","Deurne; Ruggeveldlaan, opw Rivierenhof, opw brug",3103,"Groot Schijn","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2100,"Antwerpen","I_2100_1","YES","FALSE",51.2140025092506,4.48164417719761,"FALSE"
"32","Deurne; grens Wommelgem, Autolei, afw brug",3103,"Groot Schijn","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2160,"Wommelgem","I_2160_1","YES","FALSE",51.2157685824699,4.49504425194488,"FALSE"
"33","Westmalle; Ossegoor, Sparrenlaan, opw weg",3103,"Groot Schijn","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2390,"Malle","I_2390_1","YES","FALSE",51.2849529277216,4.678968102689,"FALSE"
"34","Ekeren; Rode Weel thv PS",16818,"Voorgracht","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2030,"Antwerpen","I_2030_2","YES","FALSE",51.3057614387582,4.34273309075741,"FALSE"
"35","Walenhoek, Ettenhovense Dijk, afw autoweg",3251,"Afwateringsgracht","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2030,"Antwerpen","I_2030_3","YES","FALSE",51.3103297355931,4.35896437386392,"FALSE"
"36","Bassevelde,Hasselstraat, opw weg",2964,"Oosteeklose Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9968,"Assenede","I_9968_2","YES","FALSE",51.2178118864783,3.70594485163594,"FALSE"
"37","'s Gravenwezel, Noorderlaan",17603,"Antitankkanaal","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2970,"Schilde","I_2970_1","YES","FALSE",51.2595429027585,4.59144318390234,"FALSE"
"38","Verrebroek; Bemalingsstation thv expressweg",3111,"Noordzuid Verbinding","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9130,"Beveren","I_9130_1","YES","FALSE",51.2423646371742,4.20409376717623,"FALSE"
"39","Okkervoorde, Duikeldam ,Dijkweg Watergang vd Hoge Landen",47101," ","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9170,"Sint-Gillis-Waas","I_9170_1","YES","FALSE",51.2279694123612,4.14129934807735,"FALSE"
"40","Ast, Aststr, zandweg, afw sas",4013,"Grauwersteenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9170,"Sint-Gillis-Waas","I_9170_2","YES","FALSE",51.2139558748123,4.11031212943297,"FALSE"
"41","Haasdonk, Oude Baan, opw weg",3512,"Gaverse Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9120,"Beveren","I_9120_1","YES","FALSE",51.1970978945056,4.22393793062277,"FALSE"
"42","Sint-Niklaasstr, op het einde v/e zandweg, thv de bocht i/d beek",3231,"Schuilhoekbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9170,"Sint-Gillis-Waas","I_9170_3","YES","FALSE",51.1997817764916,4.14611471150678,"FALSE"
"43","Kouterhoek, Julianus Severinstrthv brugje",3377,"Akkersbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9150,"Kruibeke","I_9150_1","YES","FALSE",51.1675599082309,4.30343432736272,"FALSE"
